,precision,recall,f1-score,support
tidak_relevan,0.0,0.0,0.0,593.0
delegitimasi_institusi,0.045454545454545456,0.896551724137931,0.08652246256239601,29.0
dehumanisasi,0.42857142857142855,0.6923076923076923,0.5294117647058824,13.0
ajakan_kekerasan,0.1,0.4,0.16,5.0
hoaks_pemicu_kebencian,0.0,0.0,0.0,2.0
kutukan_agama_personal,0.42857142857142855,1.0,0.6,3.0
accuracy,0.06201550387596899,0.06201550387596899,0.06201550387596899,0.06201550387596899
macro avg,0.16709956709956708,0.4981432360742706,0.22932237121137974,645.0
weighted avg,0.01345011577569717,0.06201550387596899,0.018591479620908458,645.0
