,precision,recall,f1-score,support
non_hate_speech,0.9551495016611296,0.96964586846543,0.9623430962343096,593.0
hate_speech,0.5813953488372093,0.4807692307692308,0.5263157894736842,52.0
accuracy,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349
macro avg,0.7682724252491695,0.7252075496173304,0.7443294428539968,645.0
weighted avg,0.9250173839140848,0.9302325581395349,0.9271905071621351,645.0
